City,Date,Latitude,Longitude,Humidity,Max Temp,Wind Speed,Cloud Cover
Nikolskoye,1554517836,59.7,30.79,68,33.01,2.24,0
Halifax,1554518410,44.65,-63.58,31,34.0,11.41,90
Victoria,1554516000,5.28,115.24,70,87.8,5.82,75
Krasnoturansk,1554516000,54.32,91.57,37,35.6,6.71,0
Rockhampton,1554516000,-23.38,150.51,42,84.2,11.41,40
Bethel,1554515760,60.79,-161.76,51,35.6,18.34,1
Jamestown,1554517942,-33.21,138.6,36,72.71,4.07,0
Moroni,1554518244,39.52,-111.59,71,54.0,1.01,80
Lapua,1554518454,62.97,23.01,85,33.01,5.82,0
Yizheng,1554518387,24.67,103.43,39,69.01,9.44,64
Cape Town,1554517566,-33.93,18.42,76,60.01,4.7,0
Castro,1554516000,-42.48,-73.76,87,50.0,4.7,90
Barrow,1554517949,-38.31,-60.23,69,54.62,12.8,0
Sitka,1554517912,37.17,-99.65,61,64.99,8.99,88
Pitimbu,1554516000,-7.47,-34.81,94,77.0,3.36,20
Albany,1554517927,42.65,-73.75,80,35.6,9.17,90
Mataura,1554517810,-46.19,168.86,49,57.99,1.99,0
Linjiang,1554518458,41.81,126.91,36,44.81,11.23,48
Ribeira Grande,1554517935,38.52,-28.7,96,61.28,20.18,76
Kimbe,1554518458,-5.56,150.15,96,83.69,3.96,36
Shibetsu,1554516000,44.15,142.46,74,37.4,13.87,75
Rikitea,1554517929,-23.12,-134.97,100,77.48,14.81,48
Pimentel,1554518458,-3.7,-45.5,95,74.51,2.95,68
Ostrovnoy,1554517989,68.05,39.51,84,20.78,18.5,0
Tuktoyaktuk,1554516000,69.44,-133.03,77,1.4,11.41,5
Nador,1554516000,35.17,-2.93,50,55.4,10.29,0
Abapo,1554518459,-18.83,-63.47,68,56.96,4.52,56
Coquimbo,1554516000,-29.95,-71.34,93,57.2,2.24,0
Baykit,1554518459,61.68,96.39,78,24.56,7.43,68
Port Lincoln,1554517974,-34.72,135.86,89,65.51,4.41,8
Mar del Plata,1554517937,-46.43,-67.52,53,62.9,33.15,12
Rocha,1554517957,-34.48,-54.34,76,59.75,5.41,68
Mahebourg,1554517741,-20.41,57.7,83,78.8,11.41,75
Busselton,1554517810,-33.64,115.35,34,66.99,6.53,0
Sumenep,1554518460,-7.02,113.87,100,84.86,3.74,48
Tessalit,1554518055,20.2,1.01,29,68.66,7.65,0
Hilo,1554517919,19.71,-155.08,65,78.8,11.41,75
Paamiut,1554518460,61.99,-49.67,87,34.37,23.64,36
Mehran,1554516000,33.12,46.17,87,50.0,4.7,90
Hobart,1554517879,-42.88,147.33,39,66.99,13.87,40
Fortuna,1554518007,38.18,-1.13,70,51.01,6.93,0
College,1554517946,64.86,-147.8,32,43.0,11.41,1
Vostok,1554518011,46.45,135.83,70,33.11,3.62,88
Punta Arenas,1554516748,-53.16,-70.91,100,39.2,26.4,40
Pevek,1554517982,69.7,170.27,86,8.63,10.89,20
New Norfolk,1554517879,-42.78,147.06,39,66.99,13.87,40
Yar-Sale,1554518019,66.83,70.83,84,22.22,24.43,44
Ushuaia,1554516000,-54.81,-68.31,93,39.2,24.16,40
Port Alfred,1554517643,-33.59,26.89,91,57.99,1.99,80
Kapaa,1554517877,22.08,-159.32,57,80.6,8.05,1
Haines Junction,1554518005,60.75,-137.51,73,25.1,2.17,76
Khatanga,1554518024,71.98,102.47,85,17.9,18.39,8
Sao Filipe,1554517984,14.9,-24.5,99,70.01,17.94,24
Chokurdakh,1554517934,70.62,147.9,100,18.98,5.75,12
Ryotsu,1554516000,38.08,138.43,47,55.4,18.34,40
Goulburn,1554518453,-34.75,149.72,56,78.01,4.0,0
Fukue,1554518349,35.03,136.69,59,71.01,11.41,20
Avarua,1554516000,-21.21,-159.78,65,80.6,11.41,0
Luderitz,1554518001,-26.65,15.16,81,57.86,14.81,8
Hithadhoo,1554517952,-0.6,73.08,100,83.69,4.97,0
Grand Gaube,1554518341,-20.01,57.66,83,78.8,11.41,75
Pinega,1554518463,64.7,43.39,89,18.71,2.39,0
Cherskiy,1554517680,68.75,161.3,71,19.61,2.73,0
Bredasdorp,1554517915,-34.53,20.04,93,59.0,3.36,0
Presidencia Roque Saenz Pena,1554517708,-26.79,-60.44,71,60.29,7.76,64
Gorlice,1554518252,49.66,21.16,79,46.0,1.01,76
San Vicente,1554517878,13.64,-88.78,78,82.4,4.7,20
Carnarvon,1554517972,-30.97,22.13,91,47.24,10.67,0
Qaanaaq,1554517936,77.48,-69.36,67,-5.05,6.87,0
Kodiak,1554517934,39.95,-94.76,82,57.99,9.17,1
Santiago,1554518332,-33.44,-70.65,49,72.0,5.82,0
Saint-Philippe,1554517942,45.36,-73.48,93,35.01,14.99,90
Tasiilaq,1554515400,65.61,-37.64,58,30.2,29.97,56
Atuona,1554517948,-9.8,-139.03,99,82.88,14.03,92
Surt,1554518464,31.21,16.59,87,62.99,6.64,0
Wewak,1554518465,-3.55,143.63,84,82.97,2.95,56
Rabaul,1554518465,-4.2,152.17,99,83.06,4.97,20
Ramnagar,1554518465,27.17,84.33,55,80.36,7.43,36
Dhanera,1554518465,24.51,72.02,42,80.45,5.75,0
Vila Velha,1554517091,-3.71,-38.6,88,78.8,2.24,0
Kavaratti,1554517749,10.57,72.64,100,83.78,4.41,0
Dikson,1554517930,73.51,80.55,100,20.33,13.13,76
Puerto Ayora,1554517895,-0.74,-90.35,96,77.0,5.75,68
Linxia,1554517671,35.6,103.21,20,57.05,3.29,0
East London,1554517900,-33.02,27.91,100,64.52,6.76,92
Daru,1554518011,7.99,-10.85,94,74.33,4.41,24
Moerai,1554518466,-22.43,-151.33,100,79.01,7.31,20
Henties Bay,1554516129,-22.12,14.28,93,57.99,7.0,8
Broome,1554517934,52.47,1.45,93,45.0,4.7,48
Rio Grande,1554518173,-32.03,-52.1,98,67.76,16.93,92
Waingapu,1554518466,-9.65,120.26,81,84.05,6.98,20
Merauke,1554518467,-8.49,140.4,97,84.32,8.32,24
Ilulissat,1554515400,69.22,-51.1,46,30.2,25.28,0
Saskylakh,1554517930,71.97,114.09,86,15.11,12.68,0
Roura,1554516000,4.73,-52.33,94,75.2,2.24,100
Arraial do Cabo,1554517971,-22.97,-42.02,84,80.36,17.27,0
Bluff,1554517977,-23.58,149.07,44,85.13,9.44,0
Suchedniow,1554518432,51.05,20.83,1,48.0,11.01,0
Gerash,1554516000,27.67,54.14,68,66.2,4.7,90
Sorong,1554518468,-0.86,131.25,98,83.69,2.84,0
Souillac,1554517862,45.6,-0.6,81,48.99,1.12,0
Saint-Joseph,1554518418,43.56,6.97,87,50.0,2.24,0
Naze,1554518468,5.43,7.07,93,76.4,7.2,68
Kuching,1554516000,1.56,110.34,74,86.0,2.24,75
Bontang,1554518469,0.12,117.47,96,82.43,3.85,24
Abyek,1554516000,36.04,50.53,66,53.6,6.93,90
Port Keats,1554518469,-14.25,129.55,83,84.86,19.06,36
Faya,1554516000,18.39,42.45,82,62.6,10.29,0
San Policarpo,1554517956,12.18,125.51,91,81.53,10.67,92
Verkhoyansk,1554517997,67.55,133.39,78,30.68,3.4,36
Geraldton,1554516780,49.72,-86.95,92,33.8,4.7,90
Port Blair,1554518365,11.67,92.75,100,83.6,5.75,0
Butaritari,1554517938,3.07,172.79,100,80.81,12.68,92
San Cristobal,1554517195,-0.39,-78.55,93,57.2,3.36,75
Qena,1554516000,26.16,32.72,42,62.6,3.36,0
Buarcos,1554517962,40.16,-8.88,87,50.0,10.29,75
Nuevitas,1554515400,21.55,-77.27,83,75.2,10.29,20
San Quintin,1554517983,17.54,120.52,78,83.96,3.51,0
Malanje,1554518015,-9.54,16.35,95,64.43,2.39,0
Esperance,1554517925,10.24,-61.45,78,77.0,6.64,20
Thompson,1554516000,55.74,-97.86,44,17.6,3.36,20
Dingle,1554517946,11.0,122.67,63,87.38,9.66,24
Ketchikan,1554516180,55.34,-131.65,81,53.6,8.05,75
Hermanus,1554517915,-34.42,19.24,86,59.0,8.01,0
Coihaique,1554516840,-45.58,-72.07,66,53.6,10.29,75
Havelock,1554518015,34.88,-76.9,93,64.4,8.05,90
Yellowknife,1554516000,62.45,-114.38,57,17.6,6.93,20
Warrnambool,1554518408,-38.38,142.48,65,64.0,5.01,68
San Carlos de Bariloche,1554516000,-41.13,-71.31,47,55.4,18.34,0
Jimeta,1554518472,9.28,12.44,50,82.61,1.95,100
Constitucion,1554515100,23.99,-104.67,15,66.2,14.99,75
Sandviken,1554518293,60.62,16.77,97,33.01,1.99,48
Chicama,1554516000,-7.84,-79.15,83,69.8,6.93,0
Ixtapa,1554518420,20.71,-105.21,83,75.99,5.82,90
Tuatapere,1554517810,-46.13,167.69,49,57.99,1.99,0
Quatre Cocos,1554518341,-20.21,57.76,83,78.8,11.41,75
Upernavik,1554517970,72.79,-56.15,100,15.38,9.89,36
Moyale,1554518473,3.52,39.05,70,70.82,3.74,92
Lebu,1554516000,8.96,38.73,77,59.0,8.05,0
Cockburn Town,1554517968,21.46,-71.14,99,78.11,20.07,88
Havre-Saint-Pierre,1554516000,50.23,-63.6,79,28.4,18.34,20
Atambua,1554517968,-9.11,124.89,100,79.55,17.49,92
Severo-Kurilsk,1554517978,50.68,156.12,95,33.11,13.13,88
Flinders,1554518414,-34.58,150.85,54,84.99,5.82,8
Porto Walter,1554518474,-8.27,-72.74,92,78.56,2.17,44
Novogurovskiy,1554516000,54.47,37.34,86,33.8,2.24,88
Miguel Hidalgo,1554516742,19.41,-99.19,40,68.0,9.17,90
Puerto Escondido,1554514800,15.86,-97.07,69,82.4,13.8,75
Alofi,1554517943,-19.06,-169.92,96,82.43,13.58,76
Bereda,1554517805,43.27,-7.54,93,46.0,10.29,0
Nushki,1554518475,29.55,66.02,37,63.71,3.96,0
Fagersta,1554518415,60.0,15.79,92,34.0,5.82,32
Lagoa,1554517928,37.14,-8.45,87,51.01,8.05,40
Noumea,1554516000,-22.28,166.46,37,84.2,10.29,40
Talnakh,1554517979,69.49,88.39,96,20.15,14.25,76
Vaini,1554517962,15.34,74.49,81,73.88,2.28,56
Provideniya,1554518476,64.42,-173.23,100,25.28,2.28,0
Angoche,1554518392,-16.23,39.91,100,80.54,4.29,8
Asyut,1554516000,27.18,31.19,54,55.4,11.41,0
Rumoi,1554516000,43.93,141.67,74,37.4,13.87,75
Ahuimanu,1554518076,21.44,-157.84,74,82.4,8.05,20
Comodoro Rivadavia,1554516720,-45.87,-67.48,30,68.0,26.4,0
Pisco,1554516000,-13.71,-76.2,78,71.6,2.24,0
Miramar,1554518127,10.09,-84.73,68,71.6,13.87,0
Airai,1554517947,-8.93,125.41,73,76.85,2.95,92
Opuwo,1554518481,-18.06,13.84,66,57.23,3.51,0
Oelde,1554518453,51.83,8.15,100,46.0,3.36,75
Beloha,1554518389,-25.17,45.06,75,71.54,6.53,0
Georgetown,1554516000,6.8,-58.16,88,80.6,4.7,0
Torbay,1554517924,47.66,-52.73,68,28.0,23.04,40
Zamora,1554518399,41.51,-5.74,93,36.0,11.41,92
Kruisfontein,1554518394,-34.0,24.73,85,58.85,8.32,24
Tiarei,1554516744,-17.53,-149.33,62,89.6,8.05,40
Mildura,1554517972,-34.18,142.16,40,72.0,6.93,0
Bonthe,1554517865,7.53,-12.5,91,79.55,3.96,44
Talcahuano,1554516000,-36.72,-73.12,87,53.6,8.05,0
Alta Floresta,1554518483,-9.87,-56.08,93,76.31,2.06,92
Biltine,1554518483,14.53,20.93,46,61.73,4.97,0
Cabo San Lucas,1554517527,22.89,-109.91,68,77.0,12.75,20
Ambilobe,1554518045,-13.19,49.05,89,71.63,6.42,0
Faanui,1554517726,-16.48,-151.75,100,84.77,14.81,88
Sibenik,1554518483,45.81,17.18,86,40.85,2.28,88
Rossland,1554517920,49.08,-117.8,93,46.0,1.61,92
Mentougou,1554518474,39.94,116.09,17,71.01,2.24,0
Puerto Colombia,1554517887,10.99,-74.96,78,80.6,11.41,20
Port Elizabeth,1554517938,39.31,-74.98,100,51.01,5.82,90
Washougal,1554518481,45.58,-122.35,62,55.4,9.17,20
Sainte-Maxime,1554518452,43.31,6.64,93,53.01,3.36,68
Kieta,1554518332,-6.22,155.63,94,83.33,5.41,56
Aksarka,1554517750,66.56,67.8,80,19.52,13.02,12
Vardo,1554517745,39.62,-77.74,87,44.01,5.82,90
Chuy,1554517915,-33.69,-53.46,82,64.79,12.68,44
Broken Hill,1554516000,-31.97,141.45,53,71.6,9.17,0
Juegang,1554518423,32.31,121.18,54,78.01,8.88,0
Rosarito,1554516000,4.91,-75.23,100,73.4,3.36,75
Bathsheba,1554516000,13.22,-59.52,88,77.0,23.04,75
Villanueva de la Serena,1554518485,38.97,-5.8,93,43.55,12.68,88
Klyuchi,1554518485,52.25,79.17,95,35.18,9.33,92
Diapaga,1554518486,12.07,1.79,54,78.38,5.97,0
Tiksi,1554517959,71.64,128.87,86,21.14,4.18,56
Sabha,1554518486,27.03,14.43,78,67.49,8.21,64
Aykhal,1554517940,65.95,111.51,80,23.93,3.96,20
Ozernovskiy,1554518486,51.5,156.52,82,35.9,12.91,20
Xichang,1554518393,27.88,102.25,28,78.01,1.39,24
Eureka,1554517852,40.8,-124.16,76,55.0,6.93,75
Cap Malheureux,1554517741,-19.98,57.61,83,78.8,11.41,75
Rancho Palos Verdes,1554518433,33.75,-118.37,77,62.6,19.46,40
Salalah,1554515400,17.01,54.1,78,77.0,3.36,20
Los Llanos de Aridane,1554517267,28.66,-17.92,63,62.6,20.8,75
Karlstad,1554517957,59.38,13.5,76,33.8,8.05,32
Hasaki,1554516462,35.73,140.83,100,72.0,2.24,20
Alice Springs,1554516000,-23.7,133.88,30,86.0,9.17,0
Chulman,1554518369,56.84,124.9,61,30.5,8.21,92
Guangyuan,1554518434,32.43,105.86,56,77.0,3.4,0
Jackville,1554516000,5.21,-4.42,83,82.4,5.82,0
Necochea,1554518488,-38.55,-58.74,84,52.1,10.89,0
Placido de Castro,1554518488,-10.34,-67.19,88,78.38,3.18,8
Ahipara,1554518289,-35.17,173.16,78,67.13,9.55,64
Kaputa,1554518489,-8.47,29.66,95,63.53,2.17,44
Laguna,1554514920,27.52,-110.01,28,73.4,3.36,5
Clyde River,1554516000,70.47,-68.59,84,-2.21,20.8,90
Zhanaozen,1554518489,43.35,52.85,66,47.6,14.03,12
Misratah,1554518447,32.38,15.09,94,59.75,15.48,8
Klaksvik,1554515400,62.23,-6.59,80,41.0,6.93,48
Nome,1554517641,30.04,-94.42,83,73.99,6.76,90
Hualmay,1554518017,-11.1,-77.61,97,64.43,3.62,32
Eyl,1554518490,7.98,49.82,100,77.66,4.07,8
Padang,1554516000,-0.92,100.36,70,87.8,2.24,20
Batsfjord,1554518490,70.63,29.72,100,32.57,18.61,0
General Roca,1554516000,-39.03,-67.58,71,55.4,4.74,0
Fort Nelson,1554516000,58.81,-122.69,85,24.8,3.36,90
Katsuura,1554516244,33.93,134.5,45,68.0,19.46,20
Leiyang,1554518491,26.42,112.85,96,71.18,4.63,20
Yulara,1554516000,-25.24,130.99,23,86.0,12.75,0
Kirakira,1554517983,-10.46,161.92,100,83.87,5.64,32
Lata,1554518442,30.78,78.62,100,48.32,1.83,56
Banda Aceh,1554517983,5.56,95.32,74,85.76,2.73,0
Fontem,1554518491,5.49,9.85,94,59.93,2.84,0
Zhigansk,1554517936,66.77,123.37,70,32.57,5.19,44
Scarborough,1554518344,54.28,-0.41,93,42.01,5.82,64
Ancud,1554516000,-41.87,-73.83,87,50.0,4.7,90
Nanortalik,1554518023,60.14,-45.24,92,32.21,26.55,88
Leningradskiy,1554518016,69.38,178.42,90,7.82,28.79,0
Lompoc,1554517716,34.64,-120.46,87,59.0,12.75,1
Donskoye,1554516000,45.45,41.98,93,37.4,8.95,0
Thinadhoo,1554518492,0.53,72.93,100,83.24,1.95,0
Poum,1554516000,41.28,20.71,70,48.2,3.36,75
Anadyr,1554516748,64.73,177.51,78,14.0,6.71,0
Lonevag,1554518411,60.53,5.49,75,45.0,10.29,20
Mount Gambier,1554516000,-37.83,140.78,48,62.6,9.17,90
Black River,1554517805,18.03,-77.85,74,78.8,4.7,75
Oyon,1554518497,-10.67,-76.77,77,37.61,0.94,0
Jaisalmer,1554518497,26.91,70.91,41,81.35,8.1,0
Port Hardy,1554516000,50.7,-127.42,87,46.4,6.93,90
Vinces,1554516000,-1.56,-79.75,74,82.4,3.36,75
Honningsvag,1554517975,70.98,25.97,100,22.49,9.78,0
Panguna,1554518498,-6.32,155.48,97,78.74,1.72,76
Ternate,1554517905,14.29,120.72,52,91.99,6.93,20
Liwale,1554518498,-9.8,37.92,89,74.06,3.18,100
Antigonish,1554518109,45.62,-61.99,42,32.0,6.93,1
Sorland,1554517701,67.67,12.69,100,38.15,1.61,0
Codrington,1554517765,-28.95,153.24,57,78.8,4.7,40
Fengcheng,1554518498,40.45,124.07,49,50.84,6.42,76
Suluova,1554517200,40.83,35.65,69,37.4,1.12,0
Hay River,1554516000,60.82,-115.79,47,15.8,12.75,75
Lake Charles,1554518000,30.23,-93.22,88,73.4,6.93,90
Puerto Leguizamo,1554518499,-0.19,-74.78,57,84.5,3.96,12
Ulaanbaatar,1554517800,47.92,106.92,30,30.2,17.9,40
Caborca,1554518140,30.58,-111.1,42,68.0,5.99,0
Sambava,1554517954,-14.27,50.17,100,81.26,14.03,100
Komsomolskiy,1554517972,67.55,63.78,91,24.74,21.85,92
Kudahuvadhoo,1554517996,2.67,72.89,100,83.06,4.07,0
Koumac,1554518500,-20.56,164.28,79,79.28,6.87,88
Acapulco,1554515220,16.86,-99.88,83,80.6,9.17,40
Manokwari,1554518500,-0.87,134.08,96,83.06,9.78,12
Tarkwa,1554518501,5.31,-1.99,95,75.95,5.08,8
Staraya Poltavka,1554518501,50.48,46.48,95,35.36,4.63,56
Rotherham,1554518465,53.43,-1.36,100,44.01,3.36,80
Vao,1554518045,59.1,26.19,73,29.78,5.75,20
Kontagora,1554518501,10.4,5.47,55,81.35,10.78,8
Reinosa,1554518470,43.0,-4.14,93,48.99,3.96,8
Belaya Gora,1554518502,68.54,146.19,100,25.91,5.19,32
Metro,1554518502,-5.11,105.31,98,83.87,4.07,24
Beringovskiy,1554517720,63.05,179.32,91,26.0,4.63,12
Calabozo,1554518502,8.92,-67.43,39,80.63,16.26,8
Bilma,1554518007,18.69,12.92,26,66.68,2.84,0
Rio Cuarto,1554516000,-33.13,-64.35,50,57.2,9.17,0
Hamilton,1554517936,32.3,-64.78,63,66.2,19.46,75
Labuhan,1554518503,-2.54,115.51,72,87.2,1.16,20
Sabang,1554518503,13.72,123.58,84,82.16,5.86,64
Isangel,1554516000,-19.55,169.27,70,84.2,19.46,75
Denpasar,1554516000,-8.65,115.22,83,84.2,3.36,20
Zeya,1554518503,53.74,127.27,57,35.81,4.85,64
Manoel Urbano,1554518504,-8.84,-69.26,85,78.65,3.4,0
High Rock,1554518504,26.63,-78.28,100,75.68,13.8,76
Grootfontein,1554518504,-19.56,18.1,58,57.41,3.62,0
Santo Domingo,1554518000,18.48,-69.94,83,75.99,9.17,40
Bambous Virieux,1554517741,-20.34,57.76,83,78.8,11.41,75
