City,Date,Latitude,Longitude,Humidity,Max Temp,Wind Speed,Cloud Cover
Folldal,1554518505,62.14,10.0,96,26.81,2.62,92
Hofn,1554518048,64.25,-15.21,100,36.17,16.26,32
Tiznit,1554518466,29.7,-9.73,97,54.71,9.89,32
Uchiza,1554518505,-8.46,-76.46,80,73.34,1.95,32
Half Moon Bay,1554518019,37.46,-122.43,87,62.01,8.05,90
Cidreira,1554517945,-30.17,-50.22,92,68.03,8.21,92
Mayumba,1554518052,-3.44,10.65,100,77.93,7.2,76
Am Timan,1554518046,11.04,20.28,27,67.67,6.64,0
Lao Cai,1554518157,22.48,103.95,55,80.01,1.72,36
Belmonte,1554517935,40.36,-7.35,86,42.01,5.01,92
Pedra Azul,1554518506,-16.01,-41.28,81,72.35,5.75,0
Tres Arroyos,1554518506,-38.38,-60.28,69,54.62,12.8,0
Promyshlennyy,1554518506,67.58,63.92,93,24.2,21.52,88
San Jose de Sisa,1554516000,-6.62,-76.69,290,62.6,2.39,40
Ponta do Sol,1554517952,-20.63,-46.0,96,67.85,3.4,32
Raudeberg,1554517810,61.99,5.14,93,42.8,3.36,12
Warmbad,1554518477,50.67,13.08,100,45.0,2.24,90
Ouesso,1554518507,1.61,16.05,87,76.76,3.96,0
Saldanha,1554518052,41.42,-6.55,97,40.76,12.91,92
San Jose,1554518509,15.79,120.99,66,84.5,3.18,12
La Ronge,1554516000,55.1,-105.3,58,26.6,2.24,20
Berlevag,1554518012,70.86,29.09,100,22.49,8.43,0
Deputatskiy,1554518509,69.3,139.9,87,18.71,3.74,48
Basco,1554518273,40.33,-91.2,93,52.0,4.7,1
Gushikawa,1554516747,26.35,127.87,69,77.0,5.82,40
Narsaq,1554515400,60.91,-46.05,44,37.4,26.4,75
Eyrarbakki,1554518217,63.86,-21.15,64,36.0,9.17,75
Srednekolymsk,1554518030,67.46,153.71,67,23.84,3.4,0
Karoi,1554518510,-16.82,29.68,76,64.7,9.1,0
Turukhansk,1554518510,65.8,87.96,97,28.16,12.46,80
Champerico,1554514800,16.38,-93.6,48,84.2,16.11,40
Cabedelo,1554516000,-6.97,-34.84,94,77.0,3.36,20
Goderich,1554518016,43.74,-81.71,90,37.99,2.62,0
Kapuskasing,1554516000,49.42,-82.43,86,33.8,5.82,90
Bubaque,1554518019,11.28,-15.83,88,81.53,16.04,0
Nantucket,1554518488,41.28,-70.1,74,39.0,11.41,90
Deer Lake,1554516000,49.18,-57.43,68,24.8,10.29,20
Caravelas,1554518002,-17.73,-39.27,97,82.43,14.47,0
Byron Bay,1554518452,-28.65,153.62,61,82.0,5.82,20
Reconquista,1554518511,-29.14,-59.64,74,62.45,11.01,88
Amazar,1554518512,53.86,120.88,50,33.29,7.99,56
Pasaco,1554518512,13.98,-90.21,74,77.3,2.62,12
Kloulklubed,1554515400,7.04,134.26,79,84.2,9.17,75
Cabra,1554518236,37.47,-4.43,93,44.6,5.82,92
Amudat,1554518512,1.95,34.95,82,61.55,4.18,0
Guadix,1554518503,37.3,-3.14,87,42.8,4.7,20
San Luis,1554518316,-33.3,-66.34,41,53.0,7.99,0
Longyearbyen,1554515400,78.22,15.63,72,17.6,2.24,90
Dodge City,1554518464,37.75,-100.02,52,64.99,17.22,1
Mehamn,1554518513,71.03,27.85,70,18.17,7.43,0
Taltal,1554518053,-25.41,-70.49,94,53.54,2.39,0
Mezen,1554518008,65.85,44.24,89,20.96,2.95,8
Portland,1554518363,45.52,-122.67,58,53.6,8.05,75
Yumen,1554517736,40.29,97.04,30,60.74,6.76,0
Yen Bai,1554518277,21.7,104.87,100,71.18,3.85,76
Porto Novo,1554516000,-23.68,-45.44,83,75.2,0.72,0
Adre,1554518514,13.47,22.2,25,61.28,7.2,0
Kaitangata,1554517928,-46.28,169.85,52,55.0,10.0,0
Villiers,1554518515,-27.03,28.6,94,51.83,8.55,56
Beira,1554518291,43.2,-8.36,93,50.0,10.29,0
Normandin,1554516000,48.84,-72.53,37,33.8,8.05,90
Iqaluit,1554516723,63.75,-68.52,92,17.6,11.68,90
Pori,1554517200,61.49,21.79,80,30.2,4.7,0
Lasa,1554517883,34.92,32.53,87,55.4,5.82,0
Rantepao,1554518516,-2.97,119.9,82,78.92,1.61,12
Emba,1554517883,34.81,32.42,87,55.4,5.82,0
Latung,1554518516,-8.45,120.42,82,82.79,3.51,0
Biak,1554518012,-0.91,122.88,78,86.66,2.06,8
Bilibino,1554517999,68.06,166.44,74,31.67,3.18,0
Cururupu,1554518471,-1.82,-44.87,100,72.89,3.18,92
Karaton,1554517975,-6.34,106.1,78,87.01,3.36,20
Nanma,1554518517,35.7,113.14,22,72.35,4.74,8
Deep River,1554517916,46.1,-77.49,96,33.01,4.7,90
Oranjemund,1554518517,-28.55,16.43,94,59.48,19.17,20
Ust-Nera,1554517979,64.57,143.24,78,28.61,2.62,8
Campos Belos,1554518517,-13.04,-46.77,92,68.75,2.73,24
Buchanan,1554516000,5.88,-10.05,94,75.2,4.63,75
San Carlos del Zulia,1554518518,9.0,-71.91,67,81.8,2.84,0
Ballina,1554518407,54.11,-9.15,86,46.0,7.0,88
Gold Coast,1554518469,-28.0,153.41,61,82.99,10.29,48
Micheldorf,1554518435,46.91,14.43,87,44.6,2.24,75
Carballo,1554518516,43.21,-8.69,93,50.0,10.29,0
Sosnovo-Ozerskoye,1554518519,52.53,111.54,42,27.8,9.89,0
Te Anau,1554518013,-45.41,167.72,49,53.54,3.4,0
Atasu,1554518519,48.68,71.64,100,41.03,8.21,80
Zabaykalsk,1554518519,49.64,117.33,43,36.44,15.82,24
Bom Jesus,1554516000,-5.99,-35.58,94,78.8,3.36,40
Menongue,1554518513,-14.66,17.68,69,69.11,3.4,12
Sao Jose da Coroa Grande,1554518053,-8.9,-35.15,86,79.46,4.74,100
Xiaoshi,1554518520,30.59,116.63,68,70.55,5.64,36
Guarapuava,1554518262,-25.4,-51.46,96,66.05,4.52,68
Tilichiki,1554517964,60.47,166.1,90,35.45,3.85,0
Kutum,1554518012,14.2,24.66,30,55.07,6.2,0
Siilinjarvi,1554517200,63.08,27.67,92,30.2,4.7,0
Frohnleiten,1554518410,47.27,15.33,93,44.01,2.24,75
Bethanien,1554518521,-26.5,17.16,76,47.69,2.95,0
Umm Kaddadah,1554518521,13.6,26.69,23,62.09,6.64,0
Grants,1554515700,35.15,-107.85,25,53.6,16.11,75
Vojka,1554516000,48.46,21.91,50,55.4,2.24,76
Barcelos,1554518304,41.53,-8.62,76,48.2,13.87,40
Kasongo-Lunda,1554518466,-6.48,16.82,98,70.82,1.5,0
Arman,1554518521,59.7,150.17,68,36.35,8.88,88
Tautira,1554516744,-17.73,-149.15,62,89.6,8.05,40
Rio Gallegos,1554516000,-51.62,-69.22,70,44.6,32.21,90
Akureyri,1554516000,65.68,-18.09,69,33.8,2.24,90
Ulaangom,1554518522,49.98,92.07,68,41.93,3.51,24
Boat of Garten,1554518483,57.25,-3.76,100,36.0,1.12,20
Mutoko,1554518522,-17.4,32.23,84,60.65,2.73,8
Bay Roberts,1554517941,47.58,-53.28,68,28.0,23.04,40
Dunedin,1554517649,-45.87,170.5,47,55.0,8.01,0
Severobaykalsk,1554518523,55.65,109.32,72,21.68,2.06,8
Manyana,1554518414,-35.26,150.51,54,84.99,5.82,12
Manado,1554516000,1.49,124.85,66,86.0,3.36,20
Mayo,1554516000,63.59,-135.9,48,32.0,9.17,90
Gamba,1554518017,28.28,88.52,98,19.43,0.94,0
Gualaceo,1554516000,-2.89,-78.78,87,59.0,10.29,75
Tura,1554518524,25.52,90.21,87,72.98,3.96,12
Vallenar,1554518373,-28.58,-70.76,75,51.2,2.95,0
San Ramon,1554517990,12.92,-85.84,81,69.01,4.0,76
Harper,1554517996,30.3,-99.24,68,72.0,3.36,1
Salta,1554516000,-24.79,-65.41,87,55.4,2.24,0
Malyye Derbety,1554518525,47.95,44.68,73,28.61,2.95,8
Khasan,1554518465,42.43,130.64,55,48.41,9.66,0
Virginia Beach,1554518224,36.85,-75.98,93,57.99,10.56,90
Bandarbeyla,1554518005,9.49,50.81,100,78.38,2.39,0
Saint Anthony,1554517521,43.97,-111.68,75,48.2,14.99,90
Avera,1554517978,33.19,-82.53,88,68.0,3.36,1
Junagarh,1554518526,19.86,82.94,50,82.97,6.76,8
Bellinzona,1554518342,46.19,9.02,76,50.0,2.24,40
Letka,1554516000,43.74,17.27,93,46.4,2.24,75
Kristiansund,1554515400,63.12,7.73,93,37.4,10.29,88
Pointe-Noire,1554516000,-4.8,11.85,94,80.6,2.24,75
Yima,1554518526,34.75,111.87,30,78.74,6.42,0
Khani,1554516000,41.96,42.96,93,42.8,2.24,40
Vila Franca do Campo,1554517925,37.72,-25.43,87,59.0,14.99,75
Kavieng,1554518011,-2.57,150.8,100,84.41,4.41,48
Adrar,1554516000,27.87,-0.29,54,59.0,9.17,0
Ust-Tsilma,1554518527,65.44,52.15,88,20.15,5.3,8
Terme,1554515400,41.21,36.97,81,48.2,3.36,75
Bitung,1554516000,1.44,125.19,66,86.0,3.36,20
Russell,1554516000,-33.01,-68.8,47,59.0,3.4,0
Archidona,1554518528,-0.91,-77.81,89,57.95,2.39,8
Dukhovnitskoye,1554518508,52.48,48.21,93,33.92,5.08,92
Dalvik,1554517865,57.79,14.13,73,37.0,4.7,24
Ust-Kan,1554518529,50.93,84.77,92,37.16,2.51,80
Ilmenau,1554518442,50.69,10.91,93,45.0,6.93,75
Chegdomyn,1554518343,51.13,133.04,51,34.37,3.62,80
Fos-sur-Mer,1554518527,43.44,4.95,71,54.0,16.11,90
Sao Miguel do Araguaia,1554518529,-13.28,-50.16,89,75.95,5.64,24
Polunochnoye,1554518530,60.87,60.43,83,29.42,7.99,76
Ovsyanka,1554518530,53.58,126.91,43,41.21,6.42,88
Petrov Val,1554518530,50.14,45.21,91,32.12,2.84,56
Listvyanka,1554516000,51.86,104.86,34,35.6,4.47,0
Emerald,1554517410,-23.53,148.16,51,82.4,9.17,0
Wadi Musa,1554518530,30.32,35.48,87,44.81,1.72,24
Lavrentiya,1554517965,65.58,-170.99,91,23.03,5.3,0
Biskamzha,1554518531,53.45,89.53,71,31.22,3.29,92
Qaqortoq,1554515400,60.72,-46.03,44,37.4,26.4,75
Tashtyp,1554518531,52.8,89.89,87,32.39,3.06,88
Owando,1554518531,-0.49,15.91,95,73.43,3.29,0
Saint George,1554515400,39.45,22.34,76,53.6,2.84,90
Viedma,1554518531,-40.81,-62.99,32,64.7,17.16,0
Gorontalo,1554517718,0.54,123.06,67,86.93,2.62,20
Beitbridge,1554518532,-22.21,29.99,90,68.03,11.01,8
Pili,1554518532,13.56,123.27,74,85.67,8.99,32
Goma,1554518532,-1.67,29.23,97,55.43,2.62,20
Cayenne,1554516000,4.94,-52.33,94,75.2,2.24,100
Gola Gokarannath,1554518532,28.07,80.48,83,71.54,8.21,80
Kemin,1554518533,42.79,75.7,98,33.38,1.72,92
Benguela,1554517997,-12.58,13.4,100,79.28,4.52,48
Husavik,1554518130,50.56,-96.99,91,28.0,7.54,0
San Felipe,1554518002,-32.75,-70.73,60,66.99,3.96,0
Jawhar,1554518533,19.91,73.23,79,76.04,4.29,0
Puerto del Rosario,1554516000,28.5,-13.86,77,60.8,8.05,68
Qasigiannguit,1554515400,68.82,-51.19,46,30.2,25.28,0
Nuuk,1554515400,64.17,-51.74,32,37.4,21.92,68
Springbok,1554518041,-29.67,17.88,56,49.13,6.2,0
Zhangzhou,1554516000,24.51,117.65,73,73.4,4.47,75
Camacha,1554516000,33.08,-16.33,71,59.0,18.34,40
Umba,1554518534,66.69,34.34,84,17.45,4.74,8
Shimoda,1554518194,34.7,138.93,59,75.0,11.41,20
Omboue,1554518417,-1.57,9.26,100,81.44,3.62,24
Tual,1554518535,-5.67,132.75,100,83.51,2.51,48
Gobabis,1554518535,-22.45,18.97,56,51.29,5.41,0
Mogadishu,1554518278,2.04,45.34,100,82.34,14.47,0
Norman Wells,1554516000,65.28,-126.83,41,24.8,11.41,5
Carutapera,1554518325,-1.2,-46.02,99,76.04,7.43,92
Bonga,1554518535,7.26,36.25,97,57.95,2.17,80
Fare,1554518536,-16.7,-151.02,99,84.23,14.25,92
Weligama,1554518536,5.97,80.42,86,84.05,4.41,0
Marrakesh,1554516000,31.63,-7.99,93,48.2,4.7,40
Sommerda,1554518508,51.15,11.1,93,44.6,6.93,75
Toora-Khem,1554518536,52.47,96.11,53,31.31,2.84,64
Kahului,1554517771,20.89,-156.47,48,84.2,6.93,75
Moranbah,1554518537,-22.0,148.04,47,84.95,14.47,20
Cabatuan,1554518537,16.95,121.67,70,85.94,1.83,0
Jijiga,1554518537,9.35,42.8,84,53.63,2.84,12
Trapani,1554518480,38.02,12.54,66,57.0,10.29,75
Marao,1554518537,10.3,15.3,48,74.06,3.74,0
Sangar,1554518538,63.92,127.47,64,34.01,2.95,0
Bjornevatn,1554515400,69.67,29.98,63,28.4,43.62,0
Bredy,1554518538,52.43,60.33,89,36.35,2.84,80
Sterling,1554518433,39.0,-77.4,100,48.2,4.7,90
Shingu,1554516000,33.72,135.99,45,66.2,14.99,20
Gigmoto,1554518538,13.78,124.39,93,82.16,5.41,20
Ushumun,1554518539,52.78,126.54,46,41.3,5.75,80
Balikpapan,1554516000,-1.24,116.86,79,86.0,4.7,20
Batagay-Alyta,1554518029,67.8,130.41,81,25.82,2.95,64
Pachino,1554518406,36.72,15.09,99,48.0,18.01,80
Makat,1554518539,47.65,53.35,90,45.08,9.66,88
Khazar,1554518539,41.99,48.34,89,46.52,1.05,92
Soubre,1554518540,5.79,-6.61,97,73.34,2.84,36
Mahibadhoo,1554518026,3.78,72.97,100,84.05,2.95,0
Leh,1554518433,34.16,77.58,89,15.29,1.05,80
Arlit,1554517968,18.74,7.39,26,71.99,1.83,0
Inhambane,1554517777,-23.87,35.38,100,72.53,3.62,88
Praya,1554517800,-8.71,116.27,100,77.0,3.36,75
Jacareacanga,1554518540,-6.22,-57.76,88,76.85,3.18,12
Redding,1554518493,40.59,-122.39,77,59.0,20.8,90
Moose Factory,1554516900,51.26,-80.61,87,33.8,6.93,90
Ossora,1554518541,59.24,163.07,97,30.68,11.45,68
Obo,1554518541,5.39,26.49,85,65.33,2.84,56
Iquique,1554516000,-20.22,-70.14,73,69.8,8.05,0
Chauk,1554518541,20.89,94.82,54,86.39,7.31,0
Drumnadrochit,1554518408,57.34,-4.48,100,34.0,1.12,20
Chirongui,1554516000,-12.93,45.15,83,82.4,5.82,20
Oktyabrskiy,1554517805,55.61,37.97,90,37.0,2.24,0
Antofagasta,1554516000,-23.65,-70.4,82,62.6,2.24,0
Prince Rupert,1554516480,54.32,-130.32,87,46.4,16.11,90
Dutse,1554518543,11.76,9.34,64,71.45,1.61,0
Herouville-Saint-Clair,1554517958,49.21,-0.31,70,46.4,8.05,0
Gravdal,1554518044,59.79,5.78,61,48.2,8.05,8
Hambantota,1554516600,6.12,81.12,88,80.6,6.93,0
Iskateley,1554518543,67.68,53.15,91,23.48,19.95,76
Gbadolite,1554518543,4.28,21.0,51,76.31,5.64,0
Tsiroanomandidy,1554518544,-18.77,46.05,89,62.72,4.07,36
Baghdad,1554516000,33.3,44.38,77,59.0,8.05,0
Elban,1554518544,50.1,136.51,68,35.18,8.99,64
Chifeng,1554518344,42.27,118.96,59,40.85,6.2,68
Lamar,1554517937,38.09,-102.62,37,64.4,12.75,1
Foix,1554518534,42.97,1.61,87,51.8,11.41,75
Houlton,1554518315,46.13,-67.84,29,35.6,5.82,40
Taoudenni,1554517974,22.68,-3.98,40,58.04,9.22,0
Melo,1554518545,-32.37,-54.17,91,61.73,8.32,32
Camargo,1554518545,27.69,-105.17,10,72.35,16.82,0
Tahoua,1554518545,14.89,5.26,55,71.36,2.95,0
Loa Janan,1554518545,-0.58,117.09,82,84.59,1.95,32
Maymyo,1554514200,22.03,96.47,61,77.0,6.93,75
Lorengau,1554517975,-2.02,147.27,99,83.6,1.83,0
Najran,1554516000,17.54,44.22,82,66.2,2.73,0
Channel-Port aux Basques,1554518052,47.57,-59.14,84,27.44,14.14,0
Portobelo,1554517973,9.55,-79.65,61,82.4,10.29,40
Codajas,1554518546,-3.84,-62.06,86,79.55,5.41,0
Upington,1554516000,-28.46,21.24,44,59.0,1.12,0
Isaccea,1554517800,45.27,28.46,93,39.2,6.93,8
Solano,1554518547,16.52,121.18,91,73.97,1.61,32
Rafaela,1554518167,-31.25,-61.49,53,62.01,1.01,68
Auki,1554518510,12.18,6.51,46,69.56,6.98,8
Altamira,1554518547,-3.2,-52.21,89,77.93,4.63,68
San Patricio,1554517986,-26.98,-56.83,84,64.61,6.64,92
Dombarovskiy,1554518548,50.76,59.54,82,28.34,3.18,8
Tromso,1554515400,69.65,18.96,54,30.2,10.29,0
Chipinge,1554518548,-20.19,32.62,94,62.99,2.95,12
Tucuman,1554518548,-17.17,-70.89,86,52.82,2.62,0
Forest Hill,1554518501,32.67,-97.27,88,73.0,8.05,90
Ilesha,1554518549,7.14,5.26,86,75.23,4.74,0
Luxor,1554516000,25.7,32.65,42,62.6,3.36,0
Khandyga,1554518549,62.65,135.58,64,34.37,3.4,24
Meulaboh,1554518549,4.14,96.13,99,84.41,2.39,0
Namatanai,1554518549,-3.66,152.44,100,82.88,3.85,32
Santa Luzia,1554516000,-19.77,-43.85,78,75.2,5.82,40
Nabire,1554518455,-3.36,135.5,73,82.79,2.62,12
Diego de Almagro,1554518551,-26.39,-70.05,85,57.41,2.39,0
Manggar,1554518399,-2.88,108.27,95,83.87,4.63,56
Hays,1554517902,38.88,-99.33,68,64.4,19.46,1
Beihai,1554518450,38.95,121.19,34,57.99,13.42,0
Havoysund,1554515400,71.0,24.66,68,26.6,13.87,0
Kribi,1554518551,2.94,9.91,98,75.95,3.18,88
Chahuites,1554518552,16.29,-94.19,85,76.13,3.18,0
Atherton,1554518527,53.52,-2.49,75,45.0,10.29,64
Muravlenko,1554518552,63.79,74.5,87,22.04,18.72,44
Mattru,1554518552,7.62,-11.83,88,78.02,3.4,56
Sisimiut,1554518310,66.94,-53.67,91,19.16,4.85,44
Hope,1554517866,49.38,-121.43,76,50.0,23.04,90
Knysna,1554516000,-34.04,23.05,93,51.8,3.36,0
Banting,1554516000,2.82,101.5,70,86.0,5.82,75
Thetford Mines,1554517893,46.09,-71.3,76,34.0,7.0,88
Sandpoint,1554518227,48.28,-116.55,93,51.8,6.93,1
Guerrero Negro,1554517668,27.97,-114.04,93,61.1,8.66,92
Mitu,1554518554,36.2,46.09,93,40.85,3.18,88
Iralaya,1554518554,15.0,-83.23,84,78.47,6.98,76
Union,1554518526,47.36,-123.1,76,51.8,11.41,75
Divnoye,1554518555,45.91,43.34,80,37.7,7.31,0
La Rioja,1554518555,-29.41,-66.86,76,58.31,4.29,0
Hirata,1554518019,37.21,140.56,25,55.99,23.04,40
Jiexiu,1554518555,37.02,111.92,46,69.74,8.66,36
Sinnamary,1554518320,5.38,-52.96,93,80.63,13.02,92
Qom,1554518463,34.64,50.88,68,56.69,11.34,92
Buraydah,1554516000,26.33,43.97,40,68.0,12.75,20
Santa Eulalia,1554518556,15.73,-91.46,82,60.83,1.16,68
Volga,1554518308,44.32,-96.93,100,55.4,13.87,90
Northam,1554518505,51.04,-4.21,79,48.0,4.0,20
Margate,1554517879,-43.03,147.26,39,66.99,13.87,40
Zabol,1554516000,31.03,61.49,56,69.8,20.8,0
ChengDe,1554518557,40.97,117.93,24,56.51,5.19,0
